file,case,title
"200010/臺灣桃園地方法院刑事/TYDM,89,訴,1299,20001023.json",訴,違反廢棄物清理法
"200010/臺灣桃園地方法院刑事/TYDM,89,訴,1312,20001026.json",訴,違反廢棄物清理法
"200010/臺灣桃園地方法院刑事/TYDM,89,訴,344,20001013.json",訴,違反廢棄物清理法等
"200010/臺灣桃園地方法院刑事/TYDM,89,訴,935,20001027.json",訴,違反廢棄物清理法等
"200010/臺灣臺北地方法院刑事/TPDM,89,訴,1021,20001019,2.json",訴,違反廢棄物清理法等
"200010/臺灣臺北地方法院刑事/TPDM,89,訴,1021,20001019.json",訴,違反廢棄物清理法等
"200010/臺灣苗栗地方法院刑事/MLDM,89,苗簡,475,20001017.json",苗簡,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,苗簡,539,20001016.json",苗簡,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,苗簡,542,20001016.json",苗簡,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,苗簡,572,20001016.json",苗簡,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,苗簡,631,20001031.json",苗簡,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,苗簡,644,20001031.json",苗簡,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,訴,261,20001009.json",訴,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,訴,277,20001009.json",訴,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,訴,289,20001005.json",訴,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,訴,291,20001016.json",訴,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,訴,291,20001031.json",訴,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,訴,322,20001016,2.json",訴,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,訴,322,20001016.json",訴,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,訴,334,20001023.json",訴,違反廢棄物清理法
"200010/臺灣苗栗地方法院刑事/MLDM,89,訴,335,20001018.json",訴,違反廢棄物清理法
